ciudad,anio,semanaestadistica,temperatura
Antofagasta,2014,1,20.515702479338845
Antofagasta,2014,2,21.5375
Antofagasta,2014,3,21.78392857142857
Antofagasta,2014,4,20.576785714285716
Antofagasta,2014,5,19.738095238095237
Antofagasta,2014,6,19.367857142857144
Antofagasta,2014,7,18.951785714285716
Antofagasta,2014,8,19.17142857142857
Antofagasta,2014,9,19.192857142857143
Antofagasta,2014,10,18.626190476190477
Antofagasta,2014,11,18.64107142857143
Antofagasta,2014,12,18.879041916167665
Antofagasta,2014,13,18.78214285714286
Antofagasta,2014,14,16.979166666666668
Antofagasta,2014,15,16.58511904761905
Antofagasta,2014,16,17.09107142857143
Antofagasta,2014,17,17.567857142857143
Antofagasta,2014,18,16.35297619047619
Antofagasta,2014,19,16.813095238095237
Antofagasta,2014,20,15.886309523809524
Antofagasta,2014,21,15.560714285714285
Antofagasta,2014,22,14.755952380952381
Antofagasta,2014,23,14.107142857142858
Antofagasta,2014,24,13.344642857142858
Antofagasta,2014,25,15.023809523809524
Antofagasta,2014,26,13.595833333333333
Antofagasta,2014,27,13.208333333333334
Antofagasta,2014,28,12.979761904761904
Antofagasta,2014,29,13.599404761904761
Antofagasta,2014,30,12.50297619047619
Antofagasta,2014,31,13.439285714285715
Antofagasta,2014,32,13.735714285714286
Antofagasta,2014,33,13.59107142857143
Antofagasta,2014,34,14.53154761904762
Antofagasta,2014,35,13.679761904761904
Antofagasta,2014,36,13.890476190476189
Antofagasta,2014,37,14.05
Antofagasta,2014,38,14.247619047619047
Antofagasta,2014,39,14.482142857142858
Antofagasta,2014,40,14.644642857142859
Antofagasta,2014,41,15.099404761904761
Antofagasta,2014,42,16.156547619047622
Antofagasta,2014,43,16.929012345679013
Antofagasta,2014,44,16.375
Antofagasta,2014,45,15.939285714285715
Antofagasta,2014,46,16.847619047619048
Antofagasta,2014,47,16.813690476190477
Antofagasta,2014,48,16.52202380952381
Antofagasta,2014,49,16.53333333333333
Antofagasta,2014,50,18.26547619047619
Antofagasta,2014,51,17.558333333333334
Antofagasta,2014,52,17.822619047619046
Antofagasta,2015,1,18.697633136094677
Antofagasta,2015,2,19.082738095238096
Antofagasta,2015,3,19.354166666666668
Antofagasta,2015,4,19.504166666666666
Antofagasta,2015,5,20.570833333333333
Antofagasta,2015,6,20.539285714285715
Antofagasta,2015,7,21.185714285714283
Antofagasta,2015,8,21.03452380952381
Antofagasta,2015,9,19.913095238095238
Antofagasta,2015,10,18.811309523809523
Antofagasta,2015,11,19.814285714285717
Antofagasta,2015,12,20.938690476190477
Antofagasta,2015,13,21.09107142857143
Antofagasta,2015,14,19.780952380952378
Antofagasta,2015,15,18.94345238095238
Antofagasta,2015,16,19.326190476190476
Antofagasta,2015,17,18.114285714285714
Antofagasta,2015,18,18.07916666666667
Antofagasta,2015,19,16.892215568862277
Antofagasta,2015,20,16.96011904761905
Antofagasta,2015,21,16.729166666666668
Antofagasta,2015,22,16.248809523809523
Antofagasta,2015,23,16.245833333333334
Antofagasta,2015,24,15.66904761904762
Antofagasta,2015,25,15.255952380952381
Antofagasta,2015,26,15.904166666666667
Antofagasta,2015,27,14.720238095238095
Antofagasta,2015,28,15.114880952380954
Antofagasta,2015,29,14.628571428571428
Antofagasta,2015,30,14.492261904761904
Antofagasta,2015,31,14.807142857142857
Antofagasta,2015,32,14.995238095238093
Antofagasta,2015,33,14.489285714285714
Antofagasta,2015,34,14.118452380952382
Antofagasta,2015,35,15.34047619047619
Antofagasta,2015,36,16.28392857142857
Antofagasta,2015,37,15.872619047619047
Antofagasta,2015,38,16.088690476190475
Antofagasta,2015,39,15.885714285714286
Antofagasta,2015,40,16.511309523809523
Antofagasta,2015,41,15.567261904761907
Antofagasta,2015,42,15.58095238095238
Antofagasta,2015,43,16.298809523809524
Antofagasta,2015,44,16.795238095238094
Antofagasta,2015,45,16.758682634730537
Antofagasta,2015,46,16.762874251497006
Antofagasta,2015,47,17.119642857142857
Antofagasta,2015,48,17.5625
Antofagasta,2015,49,18.28333333333333
Antofagasta,2015,50,19.68095238095238
Antofagasta,2015,51,19.246987951807228
Antofagasta,2015,52,18.32797619047619
Antofagasta,2015,53,18.744378698224853
Antofagasta,2016,1,19.896428571428572
Antofagasta,2016,2,19.86547619047619
Antofagasta,2016,3,20.69702380952381
Antofagasta,2016,4,21.495833333333334
Antofagasta,2016,5,21.741071428571427
Antofagasta,2016,6,20.701190476190476
Antofagasta,2016,7,20.291071428571428
Antofagasta,2016,8,21.48333333333333
Antofagasta,2016,9,20.76547619047619
Antofagasta,2016,10,20.441071428571426
Antofagasta,2016,11,20.066666666666666
Antofagasta,2016,12,19.235714285714284
Antofagasta,2016,13,19.122619047619047
Antofagasta,2016,14,17.820833333333333
Antofagasta,2016,15,17.79702380952381
Antofagasta,2016,16,17.04702380952381
Antofagasta,2016,17,16.247619047619047
Antofagasta,2016,18,17.017261904761906
Antofagasta,2016,19,17.029761904761905
Antofagasta,2016,20,15.692261904761907
Antofagasta,2016,21,15.38452380952381
Antofagasta,2016,22,15.232142857142858
Antofagasta,2016,23,14.098809523809523
Antofagasta,2016,24,14.587499999999999
Antofagasta,2016,25,13.962499999999999
Antofagasta,2016,26,14.010119047619046
Antofagasta,2016,27,14.436904761904762
Antofagasta,2016,28,14.148809523809524
Antofagasta,2016,29,13.702976190476189
Antofagasta,2016,30,14.707738095238096
Antofagasta,2016,31,14.545833333333333
Antofagasta,2016,32,14.789880952380951
Antofagasta,2016,33,15.068862275449101
Antofagasta,2016,34,15.04107142857143
Antofagasta,2016,35,14.670833333333333
Antofagasta,2016,36,14.689880952380953
Antofagasta,2016,37,15.047619047619047
Antofagasta,2016,38,15.610119047619047
Antofagasta,2016,39,15.245833333333334
Antofagasta,2016,40,16.343452380952378
Antofagasta,2016,41,16.45714285714286
Antofagasta,2016,42,15.436309523809525
Antofagasta,2016,43,16.71785714285714
Antofagasta,2016,44,17.1625
Antofagasta,2016,45,18.135119047619046
Antofagasta,2016,46,17.96964285714286
Antofagasta,2016,47,18.101190476190474
Antofagasta,2016,48,18.223214285714285
Antofagasta,2016,49,18.932335329341317
Antofagasta,2016,50,19.482738095238094
Antofagasta,2016,51,19.94404761904762
Antofagasta,2016,52,19.051479289940826
Antofagasta,2017,1,20.61845238095238
Antofagasta,2017,2,21.407738095238095
Antofagasta,2017,3,23.333333333333332
Antofagasta,2017,4,24.070833333333333
Antofagasta,2017,5,22.952380952380953
Antofagasta,2017,6,20.288095238095238
Antofagasta,2017,7,20.95329341317365
Antofagasta,2017,8,22.38154761904762
Antofagasta,2017,9,22.333928571428572
Antofagasta,2017,10,19.96547619047619
Antofagasta,2017,11,19.991071428571427
Antofagasta,2017,12,18.955357142857142
Antofagasta,2017,13,18.223809523809525
Antofagasta,2017,14,17.6
Antofagasta,2017,15,17.24431137724551
Antofagasta,2017,16,17.873214285714283
Antofagasta,2017,17,15.891071428571427
Antofagasta,2017,18,16.313690476190477
Antofagasta,2017,19,18.9375
Antofagasta,2017,20,15.735119047619047
Antofagasta,2017,21,15.141071428571427
Antofagasta,2017,22,14.64345238095238
Antofagasta,2017,23,14.927380952380954
Antofagasta,2017,24,14.829166666666667
Antofagasta,2017,25,14.511309523809524
Antofagasta,2017,26,15.37202380952381
Antofagasta,2017,27,14.551190476190476
Antofagasta,2017,28,15.21607142857143
Antofagasta,2017,29,13.6375
Antofagasta,2017,30,14.233333333333333
Antofagasta,2017,31,13.975595238095238
Antofagasta,2017,32,14.625595238095238
Antofagasta,2017,33,14.264285714285714
Antofagasta,2017,34,14.776785714285714
Antofagasta,2017,35,14.451785714285714
Antofagasta,2017,36,14.33095238095238
Antofagasta,2017,37,14.042857142857141
Antofagasta,2017,38,14.701785714285714
Antofagasta,2017,39,15.388690476190478
Antofagasta,2017,40,14.989820359281438
Antofagasta,2017,41,14.158333333333333
Antofagasta,2017,42,14.781437125748504
Antofagasta,2017,43,15.080357142857142
Antofagasta,2017,44,14.858333333333333
Antofagasta,2017,45,16.53214285714286
Antofagasta,2017,46,17.208928571428572
Antofagasta,2017,47,17.223214285714285
Antofagasta,2017,48,17.52559523809524
Antofagasta,2017,49,17.910119047619048
Antofagasta,2017,50,18.66190476190476
Antofagasta,2017,51,19.57797619047619
Antofagasta,2017,52,20.35297619047619
Antofagasta,2018,1,20.383431952662722
Antofagasta,2018,2,20.377380952380953
Antofagasta,2018,3,19.61904761904762
Antofagasta,2018,4,19.235119047619047
Antofagasta,2018,5,19.83452380952381
Antofagasta,2018,6,21.2625
Antofagasta,2018,7,20.854761904761904
